"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","GREENWICH_DATUM","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
#
# See http://bugzilla.remotesensing.org/show_bug.cgi?id=339
# Or http://www.linz.govt.nz/rcs/linz/pub/web/root/core/SurveySystem/GeodeticInfo/geodeticdatums/index.jsp
#
4272,NZGD49,6272,New Zealand Geodetic Datum 1949,6272,9122,7022,8901,9606,59.47,-5.04,187.44,0.47,-0.1,1.024,-4.5993
#
#
# Use the seven-parameter transformation from the BEV (1618) for MGI (bug 870)
#
4312,MGI,6312,Militar-Geographische Institut,6312,9108,7004,8901,9606,577.326,90.129,463.919,5.137,1.474,5.297,2.4232
