"UOM_L_ALIAS_CODE","UOM_L_ALIAS_NAME","UOM_LENGTH_CODE","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
9015,International nautical mile,9030,1996-10-18 00:00:00,,EPSG,,9624
9016,meter,9001,1995-06-02 00:00:00,,EPSG,,
9018,international foot,9002,1995-06-02 00:00:00,ISO 1958.,EPSG,,
9019,American foot,9003,1995-06-02 00:00:00,,EPSG,Used in USA.,
9020,Cape foot,9005,1995-06-02 00:00:00,,EPSG,Assumes Clarke's 1865 ratio of 1 French legal metre = 39.370432 imperial inches applies to the international metre.   Used in southern African & Jamaica mapping.,
9022,Indian geodetic foot,9006,1995-06-02 00:00:00,,EPSG,Indian Foot = 0.9999566 British feet. British foot taken to be 1865 value of 0.304800837 metres.,
9023,link (Clarke's ratio),9007,1995-06-02 00:00:00,,EPSG,Assumes Clarke's 1865 ratio of 1 French legal metre = 39.370432 imperial inches applies to the international metre.  Used in Trinidad and Tobago mapping.,
9024,link,9008,1995-06-02 00:00:00,,EPSG,Used in West Malaysian mapping.,
9025,link,9009,1995-06-02 00:00:00,,EPSG,Used in East Malaysian mapping.,
9026,chain,9010,1995-06-02 00:00:00,,EPSG,Used in West Malaysian mapping.,
9027,chain,9011,1995-06-02 00:00:00,,EPSG,Used in East Malaysian mapping.,
9028,yard,9012,1995-06-02 00:00:00,,EPSG,Used in older New Zealand mapping.,
9029,yard,9013,1995-06-02 00:00:00,,EPSG,= 3 Indian feet.,
